GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Ecommerce-Backend,com.homecommerce.dtos,PlaceOrderDTO,0,31,0,0,0,13,0,9,0,9
Ecommerce-Backend,com.homecommerce.dtos,OrderDetailsDTO,0,33,0,0,0,13,0,8,0,8
Ecommerce-Backend,com.homecommerce.dtos,WishlistDTO,0,10,0,0,0,4,0,3,0,3
Ecommerce-Backend,com.homecommerce.dtos,ProductDTO,0,25,0,0,0,7,0,4,0,4
Ecommerce-Backend,com.homecommerce.dtos,CartDTO,0,38,0,0,0,16,0,11,0,11
Ecommerce-Backend,com.homecommerce.dtos,LoginDTO,0,46,0,0,0,11,0,8,0,8
Ecommerce-Backend,com.homecommerce.dtos,Response,0,45,0,4,0,12,0,6,0,4
Ecommerce-Backend,com.homecommerce.dtos,OrderResponseDTO,0,17,0,0,0,7,0,5,0,5
Ecommerce-Backend,com.homecommerce,HomeEcommerceBackendApplication,35,0,2,0,10,0,6,0,5,0
Ecommerce-Backend,com.homecommerce.controller,FileController,0,35,0,2,0,11,0,3,0,2
Ecommerce-Backend,com.homecommerce.controller,CartController,0,45,0,2,0,11,0,6,0,5
Ecommerce-Backend,com.homecommerce.controller,AdminController,0,29,0,2,0,8,0,4,0,3
Ecommerce-Backend,com.homecommerce.controller,CategoryController,0,21,0,0,0,6,0,4,0,4
Ecommerce-Backend,com.homecommerce.controller,ProductController,0,111,0,8,0,25,0,11,0,7
Ecommerce-Backend,com.homecommerce.controller,CustomerController,0,51,0,2,0,14,0,7,0,6
Ecommerce-Backend,com.homecommerce.controller,WishlistController,0,37,0,2,0,9,0,5,0,4
Ecommerce-Backend,com.homecommerce.controller,OrdersController,0,136,0,4,0,35,0,8,0,6
Ecommerce-Backend,com.homecommerce.models,Customer,0,95,0,0,0,27,0,17,0,17
Ecommerce-Backend,com.homecommerce.models,Product,0,88,0,0,0,24,0,15,0,15
Ecommerce-Backend,com.homecommerce.models,Admin,0,58,0,0,0,17,0,9,0,9
Ecommerce-Backend,com.homecommerce.models,Address,0,70,0,0,0,17,0,12,0,12
Ecommerce-Backend,com.homecommerce.models,Category,0,23,0,0,0,11,0,6,0,6
Ecommerce-Backend,com.homecommerce.models,Cart,0,61,0,0,0,16,0,10,0,10
Ecommerce-Backend,com.homecommerce.models,Order,0,90,0,0,0,30,0,18,0,18
Ecommerce-Backend,com.homecommerce.models,Payment,0,73,0,0,0,19,0,12,0,12
Ecommerce-Backend,com.homecommerce.models,OrderDetails,0,58,0,0,0,14,0,10,0,10
Ecommerce-Backend,com.homecommerce.models,Wishlist,0,46,0,0,0,12,0,8,0,8
Ecommerce-Backend,com.homecommerce.utils,DiskStorageServiceImpl,82,12,4,0,19,3,4,3,2,3
Ecommerce-Backend,com.homecommerce.services,WishlistService,0,51,0,2,0,10,0,6,0,5
Ecommerce-Backend,com.homecommerce.services,OrderService,0,43,0,0,0,9,0,6,0,6
Ecommerce-Backend,com.homecommerce.services,PaymentService,0,17,0,0,0,3,0,3,0,3
Ecommerce-Backend,com.homecommerce.services,CustomerService,0,68,2,8,0,14,2,10,0,7
Ecommerce-Backend,com.homecommerce.services,CartService,0,58,0,2,0,13,0,8,0,7
Ecommerce-Backend,com.homecommerce.services,AddressService,0,17,0,0,0,3,0,3,0,3
Ecommerce-Backend,com.homecommerce.services,ProductService,0,55,0,0,0,13,0,8,0,8
Ecommerce-Backend,com.homecommerce.services,AdminService,0,61,1,7,0,14,1,8,0,5
Ecommerce-Backend,com.homecommerce.services,CategoryService,0,28,0,0,0,7,0,5,0,5
Ecommerce-Backend,com.homecommerce.services,OrderDetailService,0,22,0,0,0,5,0,4,0,4
